Const,Name
nm0000134,Robert De Niro
nm0000197,Jack Nicholson
nm0000008,Marlon Brando
nm0000243,Denzel Washington
nm0000658,Meryl Streep
nm0000031,Katharine Hepburn
nm0000358,Daniel Day-Lewis
nm0001627,Sidney Poitier
nm0000007,Humphrey Bogart
nm0000022,Clark Gable
nm0000006,Ingrid Bergman
nm0000138,Leonardo DiCaprio
nm0000056,Paul Newman
nm0000072,Elizabeth Taylor
nm0000012,Bette Davis
nm0000071,James Stewart
nm0000060,Gregory Peck
nm0000199,Al Pacino
nm0000158,Tom Hanks
nm0000949,Cate Blanchett
nm0000030,Audrey Hepburn
nm0000701,Kate Winslet
nm0205626,Viola Davis
nm0000026,Cary Grant
nm0000151,Morgan Freeman
nm0000046,Vivien Leigh
nm0000059,Laurence Olivier
nm0000537,Steve McQueen
nm0000473,Diane Keaton
nm0000075,Spencer Tracy
nm0451321,Shah Rukh Khan
nm0000210,Julia Roberts
nm0000149,Jodie Foster
nm0000023,Judy Garland
nm0000020,Henry Fonda
nm0000366,Catherine Deneuve
nm0000038,Grace Kelly
nm0000545,Helen Mirren
nm0000164,Anthony Hopkins
nm0000010,James Cagney
nm0000291,Angela Bassett
nm0000136,Johnny Depp
nm0001256,Greta Garbo
nm0000014,Olivia de Havilland
nm0000122,Charles Chaplin
nm0361697,Setsuko Hara
nm0000267,Julie Andrews
nm0001050,Montgomery Clift
nm0001376,Isabelle Huppert
nm0000028,Rita Hayworth
nm0000932,Halle Berry
nm0000015,James Dean
nm0000018,Kirk Douglas
nm0000081,Natalie Wood
nm0000052,Marcello Mastroianni
nm0001076,Joan Crawford
nm0000148,Harrison Ford
nm0000215,Susan Sarandon
nm0000037,Gene Kelly
nm0000335,Glenn Close
nm0000021,Joan Fontaine
nm0000194,Julianne Moore
nm0000226,Will Smith
nm0000047,Sophia Loren
nm0000054,Marilyn Monroe
nm0000045,Bruce Lee
nm0005093,Regina King
nm0001401,Angelina Jolie
nm0000078,John Wayne
nm0000404,Jane Fonda
nm0000032,Charlton Heston
nm0000011,Gary Cooper
nm0880521,Liv Ullmann
nm0000204,Natalie Portman
nm0001845,Forest Whitaker
nm0000113,Sandra Bullock
nm0000039,Deborah Kerr
nm0001536,Toshirô Mifune
nm0000163,Dustin Hoffman
nm0000668,Emma Thompson
nm0000129,Tom Cruise
nm0000201,Michelle Pfeiffer
nm0001159,Faye Dunaway
nm0000168,Samuel L. Jackson
nm0000564,Peter O'Toole
nm0005132,Heath Ledger
nm0000173,Nicole Kidman
nm0004851,Penélope Cruz
nm1569276,Chadwick Boseman
nm0000104,Antonio Banderas
nm0000244,Sigourney Weaver
nm0000161,Salma Hayek
nm0000332,Don Cheadle
nm0000531,Frances McDormand
nm0000870,Kathy Bates
nm0001725,Omar Sharif
nm0010736,Amy Adams
nm0001618,Joaquin Phoenix
nm0482320,Mohanlal
nm0000093,Brad Pitt
nm0000313,Jeff Bridges
